Label,Value
"Engenharia, de produção","22"
"Gerenciamento","8"
"Engenharia, civil","4"
"Arquitetura","3"
"Tecnologia de construção e edificações","3"
"Engenharia agrícola","2"
"Agricultura, laticínios e ciências de animais","2"
"Ciência da computação, sistemas da informação","2"
"Microbiologia","2"
"Pesquisa de operações e ciência do gerenciamento","2"
"Recursos hídricos","2"
"Agricultura, multidisciplinar","1"
"Agronomia","1"
"AUTOMATION ","1"
"Biotecnologia e microbiologia aplicada","1"
"Ciências ambientais","1"
"Geografia","1"
"Biologia marinha e de água doce","1"
"Ciências dos materiais, cerâmica","1"
"Metalurgia e engenharia metalúrgica","1"
