Label,Value
"Prod.","15"
"Production","8"
"Gest. Prod.","7"
"Gestão ","7"
"Produção","7"
"Rev. adm. contemp.","5"
"Revista de Administração Contemporânea","5"
"Ambiente Construído","3"
"Ambient. constr.","2"
"Braz. J. Microbiol.","2"
"Brazilian Journal of Microbiology","2"
"Eng. Sanit. Ambient.","2"
"Engenharia Sanitaria e Ambiental","2"
"J. Transp. Lit.","2"
"JISTEM - Journal of Information Systems and Technology Management","2"
"Journal of Transport Literature","2"
"Pesqui. Oper.","2"
"Pesquisa Operacional","2"
"RAM, Rev. Adm. Mackenzie (Online)","2"
"RAM. Revista de Administração Mackenzie","2"
